Session,Date of Measurement,Sample ID,Temperature,δ13C,δ13C standard deviation,δ18O,δ18O standard deviation,δ47,δ47 standard deviation,Δ47,Δ47 standard error,δ48,δ48 standard deviation,Δ48,Δ48 standard deviation,δ49,δ49 standard deviation,Δ49,Δ49 standard deviation
n/a,"mm/dd/yy, time",n/a,°C,"‰, VPDB",‰,"‰, VPDB",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰
3,4-7-22 3:10 PM,EBOC_hg,1000,-10.10,0.01,44.31,0.02,44.278,0.048,-0.740,0.007,111.482,0.124,7.420,0.084,-18.432,0.793,-104.619,0.759
3,4-8-22 2:26 PM,EBOC_hg,1000,-10.12,0.01,43.80,0.01,43.725,0.035,-0.746,0.008,110.309,0.116,7.335,0.095,-18.367,0.633,-103.668,0.583
3,4-9-22 12:13 PM,BOC_25degC,25,-10.35,0.01,-0.75,0.03,-1.321,0.035,0.027,0.005,11.167,0.139,0.925,0.098,-3.373,1.231,-6.794,1.290
3,4-11-22 2:41 PM,BOC_hg,1000,-10.13,0.01,-0.87,0.02,-2.066,0.037,-0.805,0.009,10.532,0.147,0.532,0.116,-2.451,0.833,-5.863,0.876
3,4-12-22 12:53 PM,EBOC_25degC,25,-10.78,0.01,37.67,0.01,37.635,0.032,0.086,0.007,96.756,0.109,6.833,0.088,-18.634,0.833,-92.677,0.784
3,4-13-22 2:36 PM,BOC_hg,1000,-10.11,0.01,-1.30,0.02,-2.486,0.038,-0.796,0.006,9.620,0.077,0.501,0.070,-2.125,0.803,-4.687,0.838
3,4-14-22 2:14 PM,BOC_25degC,25,-10.67,0.02,-1.23,0.03,-2.107,0.062,0.055,0.009,9.935,0.133,0.677,0.110,-1.497,1.070,-3.636,1.132
3,4-15-22 1:16 PM,EBOC_25degC,25,-10.24,0.01,38.81,0.03,39.315,0.050,0.042,0.008,99.105,0.138,6.763,0.085,-17.376,0.894,-94.018,0.876
3,4-17-22 10:08 AM,BOC_25degC,25,-10.21,0.01,-0.40,0.02,-0.821,0.036,0.033,0.005,11.782,0.142,0.836,0.119,-2.833,0.700,-7.094,0.739
3,4-19-22 12:26 PM,EBOC_25deg,25,-10.51,0.01,37.99,0.02,37.990,0.036,0.064,0.007,97.596,0.149,6.969,0.130,-16.976,0.732,-91.963,0.705
3,4-20-22 2:20 PM,BOC_hg,1000,-10.17,0.01,-1.18,0.02,-2.375,0.029,-0.766,0.007,9.653,0.118,0.283,0.098,-1.510,1.181,-4.262,1.224
3,4-25-22 2:16 PM,EBOC_25degC,25,-10.69,0.02,37.81,0.04,37.634,0.060,0.067,0.009,97.364,0.195,7.102,0.122,-14.674,1.155,-89.362,1.126
3,4-26-22 3:16 PM,BOC_25degC,25,-10.54,0.01,-1.24,0.01,-2.011,0.024,0.024,0.006,10.054,0.072,0.807,0.059,-1.831,0.883,-4.085,0.903
3,4-27-22 3:02 PM,BOC_hg,1000,-10.24,0.01,-1.37,0.01,-2.665,0.033,-0.795,0.011,9.493,0.120,0.520,0.117,-2.957,0.701,-5.250,0.716
3,4-28-22 2:17 PM,EBOC_hg,1000,-10.31,0.01,44.59,0.01,44.051,0.024,-0.760,0.005,111.962,0.119,7.322,0.109,-19.078,0.814,-105.490,0.763
