Session,Date of Measurement,Sample ID,δ13C,δ13C standard deviation,δ13C,δ18Omineral,δ18O standard deviation,δ18Omineral,δ47,δ47 standard deviation,Δ47,Δ47 standard error,Δ47,Δ47,δ48,δ48 standard deviation,Δ48,Δ48 standard deviation,δ49,δ49 standard deviation,Δ49 ,Δ49 standard deviation
,mm/dd/yy time,,"‰, VPDB",‰,"‰, VPDB, corrected to standards","‰, VPDB",‰,"‰, VPDB, corrected to standards","‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, CDES","‰, I-CDES","‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰
1,8-28-21 2:28 AM,ETH4,-9.93,0.01,-10.17,-18.98,0.01,-18.78,-11.803,0.024,-0.442,0.007,0.449,0.459,-11.269,0.048,-1.056,0.048,2.237,0.585,19.023,0.585
1,8-28-21 5:51 AM,TRV1,1.35,0.00,1.13,-9.76,0.01,-9.50,8.895,0.023,-0.317,0.006,0.560,0.574,9.232,0.087,0.719,0.098,-1.548,0.585,-14.876,0.559
1,8-28-21 11:40 PM,ETH1,2.24,0.01,2.02,-2.54,0.01,-2.24,16.958,0.023,-0.654,0.004,0.207,0.210,25.168,0.098,1.872,0.111,-3.653,0.501,-31.987,0.467
1,8-29-21 3:03 AM,TRV1,1.35,0.00,1.13,-9.79,0.01,-9.54,8.870,0.019,-0.300,0.007,0.578,0.592,9.054,0.098,0.619,0.100,-1.367,0.394,-14.619,0.372
1,8-30-21 3:08 PM,ETH3,1.88,0.01,1.66,-2.09,0.01,-1.79,17.439,0.022,-0.291,0.004,0.579,0.593,26.403,0.103,2.184,0.101,-3.634,0.432,-32.485,0.406
1,8-31-21 4:46 AM,CAR1,4.47,0.00,4.25,-5.03,0.01,-4.74,16.637,0.030,-0.566,0.008,0.298,0.303,19.640,0.088,1.447,0.088,-2.983,0.729,-28.639,0.694
1,8-31-21 3:17 PM,ETH4,-9.91,0.01,-10.16,-18.89,0.01,-18.69,-11.688,0.020,-0.441,0.006,0.450,0.461,-11.064,0.074,-1.043,0.088,2.215,0.458,18.788,0.441
1,9-1-21 8:19 AM,TRV1,1.30,0.01,1.07,-9.73,0.01,-9.47,8.884,0.023,-0.298,0.006,0.579,0.593,9.249,0.092,0.680,0.107,-1.670,0.363,-14.994,0.346
2,1-6-22 4:46 PM,CAR1,4.45,0.00,4.31,-5.12,0.00,-4.71,16.505,0.018,-0.573,0.006,0.281,0.292,19.364,0.156,1.370,0.147,-4.025,0.626,-29.447,0.615
2,1-6-22 8:08 PM,ETH1,2.18,0.00,2.03,-2.57,0.00,-2.14,16.866,0.019,-0.651,0.006,0.197,0.209,24.947,0.109,1.722,0.109,-4.506,0.501,-32.697,0.491
2,1-6-22 11:31 PM,TRV1,1.25,0.00,1.09,-9.91,0.01,-9.53,8.660,0.021,-0.292,0.007,0.589,0.596,8.805,0.102,0.599,0.095,-2.040,0.834,-14.961,0.835
2,1-7-22 2:57 PM,ETH2,-9.97,0.00,-10.19,-19.05,0.01,-18.73,-12.141,0.023,-0.674,0.008,0.194,0.206,-11.456,0.118,-1.111,0.109,1.286,0.909,18.240,0.938
2,1-7-22 9:44 PM,ETH4,-10.05,0.00,-10.26,-19.19,0.00,-18.88,-12.130,0.015,-0.440,0.006,0.446,0.454,-11.741,0.098,-1.104,0.097,2.599,0.740,19.952,0.757
2,1-8-22 1:07 AM,IAEA-603,2.59,0.00,2.44,-2.79,0.00,-2.36,17.118,0.012,-0.569,0.004,0.285,0.296,24.507,0.079,1.727,0.076,-4.308,0.941,-32.471,0.924
2,1-10-22 2:46 PM,IAEA-C2,-8.09,0.00,-8.30,-9.38,0.00,-9.00,0.084,0.017,-0.262,0.006,0.627,0.633,9.929,0.081,0.692,0.074,-0.970,0.749,-5.674,0.752
2,1-10-22 6:08 PM,CAR1,4.43,0.00,4.29,-5.12,0.00,-4.71,16.507,0.013,-0.563,0.005,0.292,0.302,19.295,0.072,1.294,0.070,-4.100,0.731,-29.518,0.720
2,1-10-22 9:31 PM,TRV1,1.38,0.00,1.22,-9.95,0.01,-9.57,8.734,0.029,-0.298,0.010,0.582,0.589,8.693,0.067,0.569,0.063,-1.892,0.762,-14.859,0.761
2,1-11-22 4:19 AM,ETH1,2.13,0.00,1.98,-2.63,0.01,-2.21,16.748,0.029,-0.650,0.010,0.199,0.211,24.764,0.091,1.667,0.091,-4.215,0.830,-32.243,0.818
2,1-11-22 2:55 PM,ETH2,-9.94,0.00,-10.16,-18.99,0.01,-18.67,-12.053,0.027,-0.679,0.010,0.188,0.200,-11.301,0.109,-1.079,0.106,2.053,0.546,18.862,0.566
2,1-11-22 9:41 PM,CAR1,4.43,0.00,4.29,-5.09,0.00,-4.68,16.534,0.020,-0.559,0.006,0.296,0.307,19.350,0.079,1.285,0.075,-3.409,0.499,-28.898,0.496
2,1-12-22 1:03 AM,TRV1,1.33,0.00,1.17,-9.90,0.01,-9.53,8.723,0.023,-0.302,0.007,0.579,0.585,8.805,0.108,0.596,0.092,-2.023,1.173,-15.021,1.176
2,1-12-22 4:26 AM,ETH4,-10.03,0.00,-10.25,-19.14,0.00,-18.82,-12.067,0.032,-0.446,0.011,0.439,0.448,-11.626,0.098,-1.102,0.092,2.807,1.021,20.035,1.048
2,1-14-22 2:11 PM,ETH3,1.86,0.00,1.71,-2.21,0.01,-1.78,17.322,0.036,-0.266,0.009,0.611,0.617,25.906,0.103,1.931,0.088,-5.260,0.958,-33.824,0.948
2,1-14-22 8:58 PM,CAR1,4.40,0.00,4.26,-5.15,0.01,-4.74,16.440,0.024,-0.564,0.007,0.291,0.301,19.216,0.131,1.279,0.126,-3.722,0.668,-29.058,0.661
2,1-15-22 12:21 AM,IAEA-C2,-8.03,0.00,-8.23,-9.31,0.01,-8.93,0.221,0.026,-0.265,0.007,0.625,0.631,10.108,0.112,0.725,0.116,-1.085,0.716,-5.997,0.728
2,1-15-22 3:45 AM,TRV1,1.24,0.00,1.08,-9.96,0.01,-9.58,8.586,0.012,-0.297,0.006,0.583,0.590,8.618,0.089,0.520,0.084,-1.789,0.838,-14.598,0.837
2,1-17-22 12:57 PM,ETH3,1.83,0.00,1.68,-2.27,0.00,-1.84,17.225,0.020,-0.277,0.006,0.599,0.605,25.861,0.094,2.008,0.087,-5.034,0.645,-33.461,0.636
2,1-18-22 11:32 AM,ETH3,1.87,0.01,1.72,-2.18,0.01,-1.75,17.356,0.020,-0.265,0.004,0.612,0.618,26.019,0.129,1.994,0.114,-4.966,1.082,-33.590,1.073
2,1-19-22 2:41 PM,ETH2,-9.92,0.00,-10.13,-18.96,0.00,-18.65,-11.993,0.025,-0.670,0.010,0.199,0.211,-11.249,0.080,-1.075,0.075,1.740,0.746,18.467,0.767
2,1-19-22 6:04 PM,IAEA-C2,-8.03,0.00,-8.24,-9.30,0.01,-8.92,0.230,0.022,-0.260,0.007,0.630,0.636,10.126,0.083,0.725,0.077,-1.166,0.880,-6.088,0.890
2,1-19-22 9:27 PM,CAR1,4.43,0.00,4.29,-5.09,0.01,-4.68,16.549,0.023,-0.550,0.006,0.306,0.317,19.394,0.152,1.339,0.140,-4.402,0.815,-29.863,0.808
